"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3703,419,1,"11.3%","58.9%","26.2%","93.7%",1.86,2.66,0.411459340774025,0.0439309166107042,"0","Plagiobothrys tenellus",0.3
7,6,1,"85.7%","70.7%","50.1%","92.3%",3.18,7.67,0.292994914412078,0.0174930722398401,"66","Plagiobothrys tenellus",0.3
357,205,1,"57.4%","60.9%","36.3%","86.2%",3.61,5.61,0.3913486974325,0.0233084219701738,"67","Plagiobothrys tenellus",0.3
4067,630,1,"15.5%","64.1%","38.6%","90.8%",2.8,5.01,0.359010347373593,0.0261191455936488,"all","Plagiobothrys tenellus",0.3
3710,338,1,"9.1%","73.2%","44.8%","100.0%",1.14,3.1,0.268399328066166,0.0375100138971679,"0","Meconella oregana",0.5
357,205,1,"57.4%","72.0%","48.1%","97.6%",1.9,4.89,0.279534783880357,0.0258567246491948,"55","Meconella oregana",0.5
4067,543,1,"13.4%","72.5%","47.1%","99.2%",1.55,4.08,0.275462275839243,0.0301186170189098,"all","Meconella oregana",0.5
4058,707,1,"17.4%","55.0%","21.8%","89.5%",2.13,2.6,0.449694591619684,0.0431754696360615,"0","Primula pauciflora",0.46
9,9,1,"100.0%","95.9%","91.8%","99.9%",1.67,39.43,0.0405965873161714,0.000925224598970033,"77","Primula pauciflora",0.46
4067,716,1,"17.6%","76.0%","54.5%","98.6%",1.8,5.68,0.240200849587183,0.0215396712662322,"all","Primula pauciflora",0.46
4061,622,1,"15.3%","75.9%","48.6%","100.0%",1.04,3.27,0.241097756531537,0.0344228865740123,"0","Crassula connata",0.47
6,6,1,"100.0%","95.5%","91.1%","99.8%",1.88,39.93,0.044925728759708,0.00100240386069389,"44","Crassula connata",0.47
4067,628,1,"15.4%","88.9%","73.2%","100.0%",0.78,6.24,0.111456385722281,0.0123367755148909,"all","Crassula connata",0.47
