Species,AssumedT0,EarliestSighting,LastSighting,t,T,n,Direct BF,1 / ln (T/t),Full BF,,DirectSolowPP
Castilleja attenuata,1961,1961,1996,35,58,1,#DIV/0!,1.979825777,1.979825777,0.66,0.66
Crassula connata,1886,1886,1983,97,133,1,#DIV/0!,3.168184837,3.168184837,0.76,0.76
Crassula connata,1890,1890,1983,93,129,1,#DIV/0!,3.056114126,3.056114126,0.75,0.75
Crassula connata,1912,1912,1983,71,107,1,#DIV/0!,2.438138588,2.438138588,0.71,0.71
Crassula connata,1958,1958,1983,25,61,1,#DIV/0!,1.121078697,1.121078697,0.53,0.53
Lepidium virginicum ssp. menziesii,1886,1886,1981,95,133,1,#DIV/0!,2.972013412,2.972013412,0.75,0.75
Lepidium virginicum ssp. menziesii,1890,1890,1981,91,129,1,#DIV/0!,2.865716279,2.865716279,0.74,0.74
Lepidium virginicum ssp. menziesii,1912,1912,1981,69,107,1,#DIV/0!,2.279346028,2.279346028,0.7,0.7
Lepidium virginicum ssp. menziesii,1958,1958,1981,23,61,1,#DIV/0!,1.025241814,1.025241814,0.51,0.51
Meconella oregana,1886,1886,1980,94,133,1,#DIV/0!,2.881393106,2.881393106,0.74,0.74
Meconella oregana,1890,1890,1980,90,129,1,#DIV/0!,2.777756682,2.777756682,0.74,0.74
Meconella oregana,1912,1912,1980,68,107,1,#DIV/0!,2.205941738,2.205941738,0.69,0.69
Meconella oregana,1958,1958,1980,22,61,1,#DIV/0!,0.9805542263,0.9805542263,0.5,0.5
Perideridia gairdneri,1886,1886,1989,103,133,1,#DIV/0!,3.912054817,3.912054817,0.8,0.8
Perideridia gairdneri,1890,1890,1989,99,129,1,#DIV/0!,3.777968001,3.777968001,0.79,0.79
Perideridia gairdneri,1912,1912,1989,77,107,1,#DIV/0!,3.039297392,3.039297392,0.75,0.75
Perideridia gairdneri,1958,1958,1989,31,61,1,#DIV/0!,1.477352206,1.477352206,0.6,0.6
Plagiobothrys tenellus,1958,1982,1998,40,61,1,#DIV/0!,2.369699636,2.369699636,0.7,0.7
Primula pauciflora var. pauciflora,1886,1886,1984,98,133,3,2.375757576,3.274590996,2.375757576,0.77,0.7
Primula pauciflora var. pauciflora,1890,1890,1984,94,129,1,#DIV/0!,3.159381754,3.159381754,0.76,0.76
Primula pauciflora var. pauciflora,1912,1912,1984,72,107,1,#DIV/0!,2.524215331,2.524215331,0.72,0.72
Primula pauciflora var. pauciflora,1958,1958,1984,26,61,1,#DIV/0!,1.172639058,1.172639058,0.54,0.54
Trifolium dichotomum,1886,1886,1981,95,133,1,#DIV/0!,2.972013412,2.972013412,0.75,0.75
Trifolium dichotomum,1890,1890,1981,91,129,1,#DIV/0!,2.865716279,2.865716279,0.74,0.74
Trifolium dichotomum,1912,1912,1981,69,107,1,#DIV/0!,2.279346028,2.279346028,0.7,0.7
Trifolium dichotomum,1958,1958,1981,23,61,1,#DIV/0!,1.025241814,1.025241814,0.51,0.51
