scientificName,authority,subtaxonAuthority,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,species,hybrid,subspecies,variety,origin,provincialStatus,nationalStatus,reportingStatus,observediNat,eventDate,reportedBy,collectionList,accessionNumber,gbifID,basisOfHistoricalRecord,firstObservediNat,observer,iNatLink,notes,ID,statsCode
Acmispon americanus var. americanus,(Nutt.) Rydb.,,Spanish-clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Loteae,Acmispon,americanus,,,americanus,native,S4,,reported,unobserved,1975-08-04,Angela Wood,RBCM,V097714,1949546719,voucher,,,,,57053,VAS
Actaea rubra,(Aiton) Willd.,,baneberry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Ranunculaceae,Ranunculoideae,Actaeeae,Actaea,rubra,,,,native,S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113804,NA,voucher,,,,"E. P. Morgan collected 1935 (see Addendum to Henry’s Flora); creek north side of Georgeson Bay Road; Active Pass Drive neighbourhood (confirmed by Harvey, date unknown);",49870,VAS
Agrostis scabra,Willd.,,hair bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Agrostis,scabra,,,,native,S5,,reported,unobserved,1979-07-09,Harvey Janszen,RBCM,V097864,1949546889,voucher,,,,,75319,VAS
Apocynum androsaemifolium,L.,,spreading dogbane,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Gentianales,,NA,Apocynaceae,Apocynoideae,Apocyneae,Apocynum,androsaemifolium,,,,native,S5,,reported,unobserved,1984-06-02,Harvey Janszen,RBCM,V129556,NA,voucher,,,,Hydro cut line on Montague Harbour Road,47359,VAS
Arenaria serpyllifolia var. serpyllifolia,L.,,thyme-leaved sandwort,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Arenarieae,Arenaria,serpyllifolia,,,serpyllifolia,exotic,unlisted,,reported,unobserved,1979-06-28,Harvey Janszen,RBCM,V097814,1949546763,voucher,,,,reported as Arenaria serpyllifolia var. serpyllifolia (V097814),80373,VAS
Bromus inermis,Leyss.,,smooth brome,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Bromeae,Bromus,inermis,,,,exotic,unlisted,,reported,unobserved,1975-07-18,Harvey Janszen,RBCM,V097099,1949546230,voucher,,,,Georgeson Bay Road; roadside,75903,VAS
Carex kelloggii var. limnophila,B.L.Wilson & R.E.Brainerd,(Holm) ,Hind's sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,kelloggii,,,limnophila,native,S4S5,,reported,unobserved,1979-06-28,Harvey Janszen,RBCM,V098003,1949547203,voucher,,,,farm field,1091402,VAS
Carex utriculata,Boott,,beaked sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,utriculata,,,,native,S5,,reported,unobserved,1979-06-28,Harvey Janszen,RBCM,V098383,1949547645,voucher,,,,,76124,VAS
Ceanothus sanguineus,Pursh,,redstem ceanothus,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Rosales,,NA,Rhamnaceae,,,Ceanothus,sanguineus,,,,native,S5,,reported,unobserved,1995-05-11,Hans Roemer,RBCM,V186369,1949634644,voucher,,,,"""Bodega Ridge; on SW rocky slope” –collection locality details vague; planted?",76197,VAS
Claytonia rubra ssp. rubra,(Howell) Tidestr.,,redstem springbeauty,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Montiaceae,,,Claytonia,rubra,,rubra,,native,S5?,,reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,V156682,NA,voucher,,,,,79752,VAS
