"effortId","min","max","mean"
"2020-04-24T13-17-00-Andrew Simon!Andrew Simon",0,365.61,63.28
"2021-06-04T16-55-00-Caitlin Robinson!Caitlin Robinson",1.67,34.6,17.65
"2021-06-05T18-36-00-Caitlin Robinson!Caitlin Robinson",155.66,155.66,155.66
"2021-06-14T20-52-00-Caitlin Robinson!Caitlin Robinson",89.79,89.79,89.79
"2021-06-15T14-15-00-Caitlin Robinson!Caitlin Robinson",8.98,43.32,24.44
"2021-06-18T20-08-00-Caitlin Robinson!Caitlin Robinson",78.75,78.75,78.75
"2022-06-17T08-44-00-Andrew Simon!Andrew Simon",0,48.19,9.19
"2022-08-04T19-15-00-Caitlin Robinson!Caitlin Robinson",7.16,81.12,52.01
"2022-08-04T19-15-00-Caitlin Robinson!Andrew Simon",0,128.01,29.75
"2023-05-27T14-00-00-Frank Lomer!andytaggartsmith",6.69,124.22,30.25
"2023-05-27T14-00-00-Frank Lomer!phmstone",0,18.45,9.22
"2023-05-27T14-00-00-Frank Lomer!Tyler Innes",6.23,54.95,19.82
"2023-05-27T09-44-00-Andrew Simon!Andrew Simon",3.73,190.44,30.39
"2023-05-27T09-29-00-Andy Taggart-Smith!andytaggartsmith",0.61,115.62,23.68
"2023-05-27T09-29-00-Andy Taggart-Smith!phmstone",0,242.87,148.98
"2023-05-27T09-29-00-Andy Taggart-Smith!Tyler Innes",5.34,96.66,38.01
"2023-05-27T09-43-00-Jackson W.F. Chu!Jackson W.F. Chu",0,199.06,16.02
"2023-05-27T09-48-00-Spencer Shields!Spencer Shields",2.07,154.85,31.22
"2023-05-28T09-30-00-Andy Taggart-Smith!andytaggartsmith",3.57,273.97,75.08
"2023-05-28T09-30-00-Andy Taggart-Smith!Tyler Innes",6.14,743.6,202.81
"2023-09-11T12-36-00-Caitlin Robinson!Caitlin Robinson",0,133.26,80.56
"2020-04-09T11-28-00-Andrew Simon!Andrew Simon",0.87,277.58,52.51
"2022-04-07T14-05-00-Caitlin Robinson!Caitlin Robinson",1.77,34.84,14.63
"2022-04-15T12-27-00-Andrew Simon!Andrew Simon",0,322.02,27.82
"2022-04-30T10-05-00-Andrew Simon!Andrew Simon",0,86.1,24.24
"2023-05-16T12-13-00-Adam Huggins!Adam Huggins",527.26,759.25,643.26
"2023-05-24T10-53-00-Adam Huggins!heather-magpie",14.45,264.56,102.24
"2023-05-24T10-53-00-Adam Huggins!Myung Jin (John) Kang",21.38,464.02,185.88
"2023-05-24T10-53-00-Adam Huggins!Adam Huggins",14.86,468.96,241.91
"2023-05-25T07-50-00-Adam Huggins!Myung Jin (John) Kang",5.13,37.43,17.93
"2023-05-25T07-50-00-Adam Huggins!heather-magpie",263.84,263.84,263.84
"2023-05-26T17-41-00-Joan Septembre!Joan Septembre",1.26,468.46,71.4
"2023-05-27T15-14-00-Andrew Simon!Andrew Simon",2.84,182.94,39.95
"2023-05-31T11-05-00-Myung Jin (John) Kang!heather-magpie",0,11.72,5.86
"2023-05-31T11-05-00-Myung Jin (John) Kang!Myung Jin (John) Kang",4.75,173.67,103.12
"2023-06-07T08-53-00-Adam Huggins!Myung Jin (John) Kang",0.37,31.11,13.32
"2020-03-21T12-53-00-Andrew Simon!Andrew Simon",0.11,81.2,19.44
"2020-04-11T16-06-00-Andrew Simon!Andrew Simon",5.96,133.55,43.61
"2020-04-19T11-29-00-Andrew Simon!Andrew Simon",0,294.17,59.32
"2020-05-04T17-47-00-Andrew Simon!Andrew Simon",0,219.92,22.04
"2020-05-19T16-50-00-Andrew Simon!Andrew Simon",0,72.34,27.25
"2020-05-31T18-44-00-Andrew Simon!Andrew Simon",12.39,383.46,158.42
