"traceId","time","span","speed"
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:17:00,420,2.05
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:24:00,480,2.73
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:32:00,60,0.54
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:33:00,60,0.14
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:34:00,60,0.62
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:35:00,60,0.34
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:36:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:36:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:36:00,180,0.35
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:39:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:39:00,180,0.55
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:42:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:42:00,720,1.48
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 21:54:00,600,2.19
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:04:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:04:00,240,0.74
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:08:00,240,2.01
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:12:00,480,1.8
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:20:00,60,1.1
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:21:00,120,0.24
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:23:00,60,2.62
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:24:00,60,1.9
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:25:00,240,1.22
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:29:00,660,0
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 22:40:00,1260,0.22
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:01:00,0,Inf
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:01:00,180,2.68
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:04:00,720,0.02
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:16:00,60,6.36
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:17:00,60,3.29
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:18:00,180,0.94
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:21:00,120,0.64
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:23:00,0,
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:23:00,60,3.61
"2020-04-24T13-17-00-Andrew Simon",2020-04-24 23:24:00,0,
