"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp","long","lat"
"Claopodium",67870,"Claopodium",0,"accepted","claopodium mosses",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Claopodium","","iNat:43252906","2020-04-24T13:17:00-07:00",,"Andrew Simon","false","needs_id",62,2020-04-24 20:17:00,-123.346581,48.869855
"Luzula subsessilis",77901,"Luzula subsessilis",0,"accepted","short-stalked woodrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Luzula","subsessilis","iNat:43252907","2020-04-24T13:24:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 20:24:00,-123.343862,48.871055
"Cerastium arvense strictum",50847,"Cerastium arvense strictum",0,"accepted","field mouse-ear chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:43252908","2020-04-24T13:32:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:32:00,-123.341108,48.86833
"Lupinus bicolor",50614,"Lupinus bicolor",0,"accepted","Miniature Lupine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Lupinus","bicolor","iNat:43252922","2020-04-24T13:33:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 20:33:00,-123.34099,48.868307
"Collinsia parviflora",59013,"Collinsia parviflora",0,"accepted","small-flowered blue-eyed mary",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Cheloneae","Collinsia","parviflora","iNat:43252923","2020-04-24T13:34:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:34:00,-123.34102,48.868313
"Anthalia",717054,"Anthalia",0,"accepted","",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Orthorrhapha","Empidoidea","Hybotidae","Oedaleinae","","Anthalia","","iNat:43252926","2020-04-24T13:35:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 20:35:00,-123.341006,48.868406
"Trifolium microcephalum",58911,"Trifolium microcephalum",0,"accepted","small-headed clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","microcephalum","iNat:43252935","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:36:00,-123.341048,48.868448
"Trifolium oliganthum",71122,"Trifolium oliganthum",0,"accepted","few-flowered clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","oliganthum","iNat:43252936","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:36:00,-123.341053,48.868453
"Lomatium utriculatum",56827,"Lomatium utriculatum",0,"accepted","Foothill desert-parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Selineae","Lomatium","utriculatum","iNat:43252941","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:36:00,-123.341052,48.868452
"Lithophragma parviflorum",77791,"Lithophragma parviflorum",0,"accepted","smallflower woodland star",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Saxifragaceae","","Heuchereae","Lithophragma","parviflorum","iNat:43252948","2020-04-24T13:39:00-07:00",,"Andrew Simon","false","research",40,2020-04-24 20:39:00,-123.341292,48.868444
"Lomatium utriculatum",56827,"Lomatium utriculatum",0,"accepted","Foothill desert-parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Selineae","Lomatium","utriculatum","iNat:43252950","2020-04-24T13:39:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 20:39:00,-123.341058,48.86845
"Turritis glabra",79460,"Turritis glabra",0,"accepted","Tower Mustard",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Turritideae","Turritis","glabra","iNat:43252952","2020-04-24T13:42:00-07:00",,"Andrew Simon","false","research",52,2020-04-24 20:42:00,-123.341072,48.868204
"Geranium molle",53076,"Geranium molle",0,"accepted","Dove's-foot crane's-bill",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Geraniales","","","","Geraniaceae","","","Geranium","molle","iNat:43252955","2020-04-24T13:42:00-07:00",,"Andrew Simon","false","needs_id",31,2020-04-24 20:42:00,-123.341018,48.868161
"Aquilegia formosa",48244,"Aquilegia formosa",0,"accepted","western columbine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Ranunculaceae","Thalictroideae","","Aquilegia","formosa","iNat:43252959","2020-04-24T13:54:00-07:00",,"Andrew Simon","false","needs_id",39,2020-04-24 20:54:00,-123.337091,48.867498
"Usnea dasopoga",532452,"Usnea dasopoga",0,"accepted","Fishbone Beard Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Usnea","dasopoga","iNat:43252960","2020-04-24T14:04:00-07:00",,"Andrew Simon","false","needs_id",101,2020-04-24 21:04:00,-123.341801,48.868599
"Sphaerophorus venerabilis",155226,"Sphaerophorus venerabilis",0,"accepted","Ancient Coral Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Sphaerophoraceae","","","Sphaerophorus","venerabilis","iNat:43252962","2020-04-24T14:04:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 21:04:00,-123.342825,48.869078
"Achlys triphylla",75263,"Achlys triphylla",0,"accepted","vanilla leaf",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Achlys","triphylla","iNat:43252967","2020-04-24T14:08:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 21:08:00,-123.342517,48.869472
"Mnium spinulosum",124391,"Mnium spinulosum",0,"accepted","Red-mouthed Leafy Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Mnium","spinulosum","iNat:43252975","2020-04-24T14:12:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 21:12:00,-123.342872,48.86829
"Sisymbrium officinale",53266,"Sisymbrium officinale",0,"accepted","Hedge mustard",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Sisymbrieae","Sisymbrium","officinale","iNat:43252976","2020-04-24T14:20:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 21:20:00,-123.340619,48.866728
"Opuntia fragilis",62474,"Opuntia fragilis",0,"accepted","Brittle Pricklypear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Cactaceae","Opuntioideae","Opuntieae","Opuntia","fragilis","iNat:43252977","2020-04-24T14:21:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 21:21:00,-123.340458,48.866855
"Sonchus oleraceus",53294,"Sonchus oleraceus",0,"accepted","Common Sow-thistle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Sonchus","oleraceus","iNat:43252988","2020-04-24T14:23:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 21:23:00,-123.34045,48.866783
"Hypochaeris glabra",53103,"Hypochaeris glabra",0,"accepted","Smooth Cat's Ear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Hypochaeris","glabra","iNat:43252990","2020-04-24T14:24:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 21:24:00,-123.341045,48.866822
"Sisymbrium officinale",53266,"Sisymbrium officinale",0,"accepted","Hedge mustard",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Sisymbrieae","Sisymbrium","officinale","iNat:43252997","2020-04-24T14:25:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 21:25:00,-123.341395,48.86699
"Acmispon parviflorus",57048,"Acmispon parviflorus",0,"accepted","Short-flower Deervetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Loteae","Acmispon","parviflorus","iNat:43252998","2020-04-24T14:29:00-07:00",,"Andrew Simon","false","research",26,2020-04-24 21:29:00,-123.340338,48.866766
"Arbutus menziesii",51046,"Arbutus menziesii",0,"accepted","Pacific madrone",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Arbutoideae","","Arbutus","menziesii","iNat:43252999","2020-04-24T14:40:00-07:00",,"Andrew Simon","false","research",26,2020-04-24 21:40:00,-123.340338,48.866766
"Cryptochiton stelleri",49053,"Cryptochiton stelleri",0,"accepted","Gumboot Chiton",,"Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","","Cryptoplacoidea","Acanthochitonidae","Cryptochitoninae","","Cryptochiton","stelleri","iNat:43253007","2020-04-24T15:01:00-07:00",,"Andrew Simon","false","research",34,2020-04-24 22:01:00,-123.341146,48.866305
"Cryptochiton stelleri",49053,"Cryptochiton stelleri",0,"accepted","Gumboot Chiton",,"Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","","Cryptoplacoidea","Acanthochitonidae","Cryptochitoninae","","Cryptochiton","stelleri","iNat:43253008","2020-04-24T15:01:00-07:00",,"Andrew Simon","false","research",28,2020-04-24 22:01:00,-123.340138,48.866214
"Opuntia fragilis",62474,"Opuntia fragilis",0,"accepted","Brittle Pricklypear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Cactaceae","Opuntioideae","Opuntieae","Opuntia","fragilis","iNat:43253010","2020-04-24T15:04:00-07:00",,"Andrew Simon","false","research",30,2020-04-24 22:04:00,-123.341833,48.866669
"Linaria purpurea",77778,"Linaria purpurea",0,"accepted","Purple Toadflax",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Antirrhineae","Linaria","purpurea","iNat:43253018","2020-04-24T15:16:00-07:00",,"Andrew Simon","false","needs_id",29,2020-04-24 22:16:00,-123.341876,48.866694
"Pisaster ochraceus",49699,"Pisaster ochraceus",0,"accepted","Ochre Sea Star",,"Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","","Asteriidae","","","Pisaster","ochraceus","iNat:43253020","2020-04-24T15:17:00-07:00",,"Andrew Simon","false","research",27,2020-04-24 22:17:00,-123.340685,48.86615
