"","2","3","4","5","6","7","8","9","10","11"
"Aquilegia formosa",0,0,9.28,110.26,2.75,0,0,0,0,0
"Castilleja attenuata",0,0,128.51,461.02,53.27,0,0,0,0,0
"Crassula connata",0,12.18,164.64,458.89,0,0,0,0,0,0
"Lepidium virginicum",0,5.06,144.71,474.77,76.97,3.55,36.4,0,0,0
"Meconella oregana",0,0.95,128.51,461.02,0,0,0,0,0,0
"Perideridia gairdneri",0,12.18,164.64,511.72,85.98,22.1,37.85,0.3,0,0
"Plagiobothrys tenellus",0,9.52,164.64,511.55,0,0,0,0,0,0
"Platanthera unalascensis",0,0,0,80.66,20.41,19.86,37.34,0,0,0
"Primula pauciflora",1.81,9.52,164.64,458.89,85.41,10.98,37.85,0,0,0
"Trifolium dichotomum",0,0,0,483.9,86.74,0,0,0,0,0
