"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3703,419,15.71,"11.3%","67.4%","37.5%","99.4%",1.4,2.89,0.325906631832187,0.0415799250789554,"0","Plagiobothrys tenellus",0.3
7,6,1,"85.7%","70.7%","50.1%","92.3%",3.18,7.67,0.292994914412078,0.0174930722398401,"66","Plagiobothrys tenellus",0.3
357,205,1.52,"57.4%","60.9%","36.3%","86.2%",3.61,5.61,0.3913486974325,0.0233084219701738,"67","Plagiobothrys tenellus",0.3
4067,630,17.26,"15.5%","66.1%","41.5%","92.0%",2.74,5.34,0.338887129609703,0.0246777836633439,"all","Plagiobothrys tenellus",0.3
3710,338,15.74,"9.1%","76.5%","48.9%","100.0%",0.98,3.18,0.23542047053124,0.0348733520361396,"0","Meconella oregana",0.5
357,205,1.52,"57.4%","72.0%","48.1%","97.6%",1.9,4.89,0.279534783880357,0.0258567246491948,"55","Meconella oregana",0.5
4067,543,17.26,"13.4%","73.5%","48.8%","99.4%",1.52,4.22,0.264815514702547,0.0288652304040987,"all","Meconella oregana",0.5
4058,707,1,"17.4%","66.5%","37.0%","98.6%",1.53,3.04,0.334529660261847,0.0400008566848817,"0","Primula pauciflora",0.46
9,9,1,"100.0%","95.9%","91.8%","99.9%",1.67,39.43,0.0405965873161714,0.000925224598970033,"77","Primula pauciflora",0.46
4067,716,1,"17.6%","83.7%","64.9%","100.0%",1.13,5.79,0.163463226071327,0.0172591863526255,"all","Primula pauciflora",0.46
4061,622,68.94,"15.3%","76.4%","49.2%","100.0%",1.02,3.28,0.23632976356694,0.0340591565182687,"0","Crassula connata",0.47
6,6,1,"100.0%","95.5%","91.1%","99.8%",1.88,39.93,0.044925728759708,0.00100240386069389,"44","Crassula connata",0.47
4067,628,69.04,"15.4%","89.1%","73.7%","100.0%",0.77,6.29,0.108821895635452,0.0120376977943136,"all","Crassula connata",0.47
