"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
2859,"prior",0,12147.4356646117,pot,,
3561,"prior",0,12142.5643973368,pot,,
3562,"prior",0,12123.9950639722,pot,,
3563,"prior",0,12105.4708705877,pot,,
4264,"prior",0,12119.1883001868,pot,,
4265,"prior",0,12100.5829937764,pot,,
4266,"prior",0,12082.0228046659,pot,,
4267,"prior",0,12063.5079410969,pot,,
4967,"prior",0,12095.8409943257,pot,,
4968,"prior",0,12077.1996199467,pot,,
4969,"prior",0,12058.6033394837,pot,,
4970,"prior",0,12040.0523618811,pot,,
5666,"prior",0,12147.6793288859,pot,,
5671,"prior",0,12053.8451094868,pot,,
5672,"prior",0,12035.2126420031,pot,,
5673,"prior",0,12016.6254539895,pot,,
5674,"prior",0,11998.0837558876,pot,,
6368,"prior",0,12143.4707706381,pot,,
6369,"prior",0,12124.5348776413,pot,,
6370,"prior",0,12105.6429899048,pot,,
6375,"prior",0,12011.8508802847,pot,,
6376,"prior",0,11993.2273854388,pot,,
6377,"prior",0,11974.6493571088,pot,,
7048,"prior",0,12568.4242900427,pot,,
7071,"prior",0,12120.3922029628,pot,,
7072,"prior",0,12101.4200949085,pot,,
7073,"prior",0,12082.4919632087,pot,,
7077,"prior",0,12007.2233521544,pot,,
7078,"prior",0,11988.5182234845,pot,,
7079,"prior",0,11969.8583253476,pot,,
7080,"prior",0,11951.2438696057,pot,,
7750,"prior",0,12566.2041301343,pot,,
7751,"prior",0,12546.2011408265,pot,,
7752,"prior",0,12526.2373627882,pot,,
7764,"prior",0,12289.7996857033,pot,,
7773,"prior",0,12116.3957199354,pot,,
7774,"prior",0,12097.3435655359,pot,,
7775,"prior",0,12078.3351510239,pot,,
7776,"prior",0,12059.3706832346,pot,,
7779,"prior",0,12002.7430408811,pot,,
7780,"prior",0,11983.9564447671,pot,,
8454,"prior",0,12524.0099964082,pot,,
8455,"prior",0,12504.0106801604,pot,,
8466,"prior",0,12286.6577027839,pot,,
8467,"prior",0,12267.1433204931,pot,,
8468,"prior",0,12247.6706182237,pot,,
8476,"prior",0,12093.4135509919,pot,,
