"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
4058,707,1,17.4%,66.5%,37.0%,98.6%,1.53,3.04,0.334529660261847,0.0400008566848817,pot,Primula pauciflora,0.46
9,9,1,100.0%,95.9%,91.8%,99.9%,1.67,39.43,0.0405965873161714,0.000925224598970033,PP1,Primula pauciflora,0.46
4067,716,1,17.6%,83.7%,64.9%,100.0%,1.13,5.79,0.163463226071327,0.0172591863526255,all,Primula pauciflora,0.46
