"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
2859,"prior",0,21098.6679594891,pot,,
3561,"prior",0,21096.046937727,pot,,
3562,"prior",0,21076.2627953423,pot,,
3563,"prior",0,21056.5024392877,pot,,
4264,"prior",0,21073.6815494636,pot,,
4265,"prior",0,21053.876283539,pot,,
4266,"prior",0,21034.0947897558,pot,,
4267,"prior",0,21014.3371352436,pot,,
4967,"prior",0,21051.3349003882,pot,,
4968,"prior",0,21031.5084836419,pot,,
4969,"prior",0,21011.7058247024,pot,,
4970,"prior",0,20991.9269908022,pot,,
5666,"prior",0,21108.6335220711,pot,,
5671,"prior",0,21009.1594554158,pot,,
5672,"prior",0,20989.3356039176,pot,,
5673,"prior",0,20969.5355630813,pot,,
5674,"prior",0,20949.7594004227,pot,,
6368,"prior",0,21106.3956418395,pot,,
6369,"prior",0,21086.4092037384,pot,,
6370,"prior",0,21066.4461597436,pot,,
6375,"prior",0,20966.9841873995,pot,,
6376,"prior",0,20947.162912104,pot,,
6377,"prior",0,20927.3655005656,pot,,
7048,"prior",0,21550.688029101,pot,,
7071,"prior",0,21084.2115070047,pot,,
7072,"prior",0,21064.2039117653,pot,,
7073,"prior",0,21044.2196953612,pot,,
7077,"prior",0,20964.5179540638,pot,,
7078,"prior",0,20944.6516353468,pot,,
7079,"prior",0,20924.8090980961,pot,,
7080,"prior",0,20904.9904100324,pot,,
7750,"prior",0,21549.575690924,pot,,
7751,"prior",0,21529.0057639905,pot,,
7752,"prior",0,21508.4576506038,pot,,
7764,"prior",0,21263.6046986487,pot,,
7773,"prior",0,21082.098560849,pot,,
7774,"prior",0,21062.0464852057,pot,,
7775,"prior",0,21042.017706389,pot,,
7776,"prior",0,21022.0122909896,pot,,
7779,"prior",0,20962.136893819,pot,,
7780,"prior",0,20942.2256014931,pot,,
8454,"prior",0,21507.3432397999,pot,,
8455,"prior",0,21486.7742991248,pot,,
8466,"prior",0,21261.9725261705,pot,,
8467,"prior",0,21241.6700733896,pot,,
8468,"prior",0,21221.3902446264,pot,,
8476,"prior",0,21059.973906816,pot,,
8477,"prior",0,21039.9006368479,pot,,
8478,"prior",0,21019.8506480465,pot,,
8479,"prior",0,20999.8240070973,pot,,
8481,"prior",0,20959.8410363775,pot,,
8482,"prior",0,20939.8848408629,pot,,
8483,"prior",0,20919.9522617077,pot,,
9157,"prior",0,21485.7005162378,pot,,
9158,"prior",0,21465.1107252102,pot,,
9159,"prior",0,21444.5427750704,pot,,
9170,"prior",0,21219.7549378761,pot,,
9171,"prior",0,21199.4540349951,pot,,
9179,"prior",0,21037.8685130583,pot,,
9180,"prior",0,21017.7740225384,pot,,
9181,"prior",0,20997.7027973761,pot,,
9182,"prior",0,20977.6549043546,pot,,
9861,"prior",0,21443.4669888029,pot,,
9865,"prior",0,21361.2431924528,pot,,
9869,"prior",0,21279.372616148,pot,,
9873,"prior",0,21197.8593525577,pot,,
9874,"prior",0,21177.5373506824,pot,,
9883,"prior",0,20995.6667030886,pot,,
9884,"prior",0,20975.5742152236,pot,,
9885,"prior",0,20955.5050436392,pot,,
10567,"prior",0,21360.0795507009,pot,,
10568,"prior",0,21339.5355893371,pot,,
10569,"prior",0,21319.0136863404,pot,,
10572,"prior",0,21257.5809660782,pot,,
11271,"prior",0,21317.8478510492,pot,,
15481,"prior",0,21354.2818187972,pot,,
15482,"prior",0,21333.4386982663,pot,,
16183,"prior",0,21353.7890909021,pot,,
16184,"prior",0,21332.9035464152,pot,,
16185,"prior",0,21312.0394053,pot,,
16886,"prior",0,21332.4523781576,pot,,
16887,"prior",0,21311.5458105451,pot,,
16888,"prior",0,21290.6606267559,pot,,
17589,"prior",0,21311.1362856184,pot,,
17590,"prior",0,21290.2086729916,pot,,
18291,"prior",0,21310.8108360406,pot,,
18292,"prior",0,21289.8408752235,pot,,
18293,"prior",0,21268.892195749,pot,,
18995,"prior",0,21268.5662090951,pot,,
18996,"prior",0,21247.596440997,pot,,
19698,"prior",0,21247.3123495488,pot,,
19699,"prior",0,21226.3214711087,pot,,
19725,"prior",0,20688.2247315887,pot,,
19726,"prior",0,20667.8318202827,pot,,
19727,"prior",0,20647.4619873145,pot,,
20401,"prior",0,21226.0793590835,pot,,
20402,"prior",0,21205.0673486422,pot,,
20428,"prior",0,20666.4142716693,pot,,
20429,"prior",0,20645.9997070128,pot,,
20430,"prior",0,20625.6082025385,pot,,
21105,"prior",0,21183.8341363485,pot,,
21106,"prior",0,21162.8222357832,pot,,
21132,"prior",0,20624.187863842,pot,,
21808,"prior",0,21162.6218971677,pot,,
21809,"prior",0,21141.5888008908,pot,,
22511,"prior",0,21141.4306942294,pot,,
22512,"prior",0,21120.3763806142,pot,,
23215,"prior",0,21099.1850383361,pot,,
26729,"prior",0,21014.7287970337,pot,,
27431,"prior",0,21014.9111397214,pot,,
27432,"prior",0,20993.686631487,pot,,
27433,"prior",0,20972.4831962372,pot,,
28134,"prior",0,20993.9118884972,pot,,
28135,"prior",0,20972.6660141149,pot,,
28136,"prior",0,20951.4411907993,pot,,
28838,"prior",0,20951.667009772,pot,,
57711,"prior",0,19029.0085995987,pot,,
58413,"prior",0,19028.9328186621,pot,,
58414,"prior",0,19007.8332558039,pot,,
59116,"prior",0,19007.8045743248,pot,,
59117,"prior",0,18986.6814179889,pot,,
59118,"prior",0,18965.5818023091,pot,,
59819,"prior",0,18986.6999408831,pot,,
59820,"prior",0,18965.5531647987,pot,,
59821,"prior",0,18944.4299032068,pot,,
60523,"prior",0,18944.4485751451,pot,,
60524,"prior",0,18923.3016412537,pot,,
60525,"prior",0,18902.1782743165,pot,,
61226,"prior",0,18923.3677282005,pot,,
61227,"prior",0,18902.1970957108,pot,,
61228,"prior",0,18881.0500036877,pot,,
61930,"prior",0,18881.1163461075,pot,,
61931,"prior",0,18859.9455025829,pot,,
61932,"prior",0,18838.798252106,pot,,
62634,"prior",0,18838.8648508858,pot,,
62635,"prior",0,18817.6937957672,pot,,
62636,"prior",0,18796.5463865075,pot,,
