"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3703,419,15.71,11.3%,67.4%,37.5%,99.4%,1.4,2.89,0.325906631832187,0.0415799250789554,pot,Plagiobothrys tenellus,0.3
7,6,1,85.7%,70.7%,50.1%,92.3%,3.18,7.67,0.292994914412078,0.0174930722398401,PT1,Plagiobothrys tenellus,0.3
357,205,1.52,57.4%,60.9%,36.3%,86.2%,3.61,5.61,0.3913486974325,0.0233084219701738,PT2,Plagiobothrys tenellus,0.3
4067,630,17.26,15.5%,66.1%,41.5%,92.0%,2.74,5.34,0.338887129609703,0.0246777836633439,all,Plagiobothrys tenellus,0.3
