"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
4061,622,68.94,15.3%,76.4%,49.2%,100.0%,1.02,3.28,0.23632976356694,0.0340591565182687,pot,Crassula connata,0.47
6,6,1,100.0%,95.5%,91.1%,99.8%,1.88,39.93,0.044925728759708,0.00100240386069389,CC1,Crassula connata,0.47
4067,628,69.04,15.4%,89.1%,73.7%,100.0%,0.77,6.29,0.108821895635452,0.0120376977943136,all,Crassula connata,0.47
