"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3710,338,15.74,9.1%,76.5%,48.9%,100.0%,0.98,3.18,0.23542047053124,0.0348733520361396,pot,Meconella oregana,0.5
357,205,1.52,57.4%,72.0%,48.1%,97.6%,1.9,4.89,0.279534783880357,0.0258567246491948,MO1,Meconella oregana,0.5
4067,543,17.26,13.4%,73.5%,48.8%,99.4%,1.52,4.22,0.264815514702547,0.0288652304040987,all,Meconella oregana,0.5
