"OID","cell_id","NEAR_DIST","uc","radius","assigned_community","fringe_dist"
11,2859,12147.4356646117,39,60.2132034355964,0,12147.4356646117
11,3561,12142.5643973368,39,60.2132034355964,0,12142.5643973368
11,3562,12123.9950639722,39,60.2132034355964,0,12123.9950639722
11,3563,12105.4708705877,39,60.2132034355964,0,12105.4708705877
11,4264,12119.1883001868,39,60.2132034355964,0,12119.1883001868
11,4265,12100.5829937764,39,60.2132034355964,0,12100.5829937764
11,4266,12082.0228046659,39,60.2132034355964,0,12082.0228046659
11,4267,12063.5079410969,39,60.2132034355964,0,12063.5079410969
11,4967,12095.8409943257,39,60.2132034355964,0,12095.8409943257
11,4968,12077.1996199467,39,60.2132034355964,0,12077.1996199467
11,4969,12058.6033394837,39,60.2132034355964,0,12058.6033394837
11,4970,12040.0523618811,39,60.2132034355964,0,12040.0523618811
11,5666,12147.6793288859,39,60.2132034355964,0,12147.6793288859
11,5671,12053.8451094868,39,60.2132034355964,0,12053.8451094868
11,5672,12035.2126420031,39,60.2132034355964,0,12035.2126420031
11,5673,12016.6254539895,39,60.2132034355964,0,12016.6254539895
11,5674,11998.0837558876,39,60.2132034355964,0,11998.0837558876
11,6368,12143.4707706381,39,60.2132034355964,0,12143.4707706381
11,6369,12124.5348776413,39,60.2132034355964,0,12124.5348776413
11,6370,12105.6429899048,39,60.2132034355964,0,12105.6429899048
11,6375,12011.8508802847,39,60.2132034355964,0,12011.8508802847
11,6376,11993.2273854388,39,60.2132034355964,0,11993.2273854388
11,6377,11974.6493571088,39,60.2132034355964,0,11974.6493571088
11,7048,12568.4242900427,39,60.2132034355964,0,12568.4242900427
11,7071,12120.3922029628,39,60.2132034355964,0,12120.3922029628
11,7072,12101.4200949085,39,60.2132034355964,0,12101.4200949085
11,7073,12082.4919632087,39,60.2132034355964,0,12082.4919632087
11,7077,12007.2233521544,39,60.2132034355964,0,12007.2233521544
11,7078,11988.5182234845,39,60.2132034355964,0,11988.5182234845
11,7079,11969.8583253476,39,60.2132034355964,0,11969.8583253476
11,7080,11951.2438696057,39,60.2132034355964,0,11951.2438696057
11,7750,12566.2041301343,39,60.2132034355964,0,12566.2041301343
11,7751,12546.2011408265,39,60.2132034355964,0,12546.2011408265
11,7752,12526.2373627882,39,60.2132034355964,0,12526.2373627882
11,7764,12289.7996857033,39,60.2132034355964,0,12289.7996857033
11,7773,12116.3957199354,39,60.2132034355964,0,12116.3957199354
11,7774,12097.3435655359,39,60.2132034355964,0,12097.3435655359
11,7775,12078.3351510239,39,60.2132034355964,0,12078.3351510239
11,7776,12059.3706832346,39,60.2132034355964,0,12059.3706832346
11,7779,12002.7430408811,39,60.2132034355964,0,12002.7430408811
11,7780,11983.9564447671,39,60.2132034355964,0,11983.9564447671
11,8454,12524.0099964082,39,60.2132034355964,0,12524.0099964082
11,8455,12504.0106801604,39,60.2132034355964,0,12504.0106801604
11,8466,12286.6577027839,39,60.2132034355964,0,12286.6577027839
11,8467,12267.1433204931,39,60.2132034355964,0,12267.1433204931
11,8468,12247.6706182237,39,60.2132034355964,0,12247.6706182237
11,8476,12093.4135509919,39,60.2132034355964,0,12093.4135509919
11,8477,12074.3250297585,39,60.2132034355964,0,12074.3250297585
11,8478,12055.2802174045,39,60.2132034355964,0,12055.2802174045
11,8479,12036.2793214103,39,60.2132034355964,0,12036.2793214103
11,8481,11998.4101125803,39,60.2132034355964,0,11998.4101125803
11,8482,11979.5422188631,39,60.2132034355964,0,11979.5422188631
11,8483,11960.7190797361,39,60.2132034355964,0,11960.7190797361
11,9157,12501.8510272147,39,60.2132034355964,0,12501.8510272147
11,9158,12481.8160979368,39,60.2132034355964,0,12481.8160979368
11,9159,12461.8204807748,39,60.2132034355964,0,12461.8204807748
11,9170,12244.5181027636,39,60.2132034355964,0,12244.5181027636
11,9171,12225.009256342,39,60.2132034355964,0,12225.009256342
11,9179,12070.4617468096,39,60.2132034355964,0,12070.4617468096
11,9180,12051.3367681164,39,60.2132034355964,0,12051.3367681164
11,9181,12032.2554665562,39,60.2132034355964,0,12032.2554665562
