"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Aphyllon purpureum",739040,"Aphyllon purpureum",0,"accepted","oneflower broomrape",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Orobanchaceae","","Orobancheae","Aphyllon","purpureum","iNat:114122157",48.86747,-123.376463,"2022-04-30T11:42:00-07:00",,"Andrew Simon","false","research",25,2022-04-30 18:42:00
"Bryum argenteum",123390,"Bryum argenteum",0,"accepted","Silvery Bryum",,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Bryum","argenteum","iNat:114122159",48.86795,-123.376839,"2022-04-30T11:53:00-07:00",,"Andrew Simon","false","research",44,2022-04-30 18:53:00
"Trifolium variegatum",57080,"Trifolium variegatum",0,"accepted","white-tipped clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","variegatum","iNat:114122161",48.868511,-123.377772,"2022-04-30T12:37:00-07:00",,"Andrew Simon","false","research",25,2022-04-30 19:37:00
"Ochrolechia upsaliensis",226129,"Ochrolechia upsaliensis",0,"accepted","Tundra Saucer Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Ostropomycetidae","","Pertusariales","","","","Ochrolechiaceae","","","Ochrolechia","upsaliensis","iNat:114122162",48.868577,-123.377857,"2022-04-30T12:49:00-07:00",,"Andrew Simon","false","needs_id",16,2022-04-30 19:49:00
"Cerastium arvense",50851,"Cerastium arvense",0,"accepted","field chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:114122163",48.868577,-123.377857,"2022-04-30T12:53:00-07:00",,"Andrew Simon","false","research",16,2022-04-30 19:53:00
"Quercus garryana",68632,"Quercus garryana",0,"accepted","Oregon oak",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fagales","","","","Fagaceae","","","Quercus","garryana","iNat:114122165",48.868395,-123.377965,"2022-04-30T12:54:00-07:00",,"Andrew Simon","false","research",25,2022-04-30 19:54:00
"Sonchus oleraceus",53294,"Sonchus oleraceus",0,"accepted","Common Sow-thistle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Sonchus","oleraceus","iNat:114122167",48.86845,-123.378419,"2022-04-30T12:54:00-07:00",,"Andrew Simon","false","needs_id",25,2022-04-30 19:54:00
"Eriophyllum lanatum",77049,"Eriophyllum lanatum",0,"accepted","common woolly sunflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Madieae","Eriophyllum","lanatum","iNat:114122168",48.868681,-123.378116,"2022-04-30T12:54:00-07:00",,"Andrew Simon","false","research",21,2022-04-30 19:54:00
"Pseudobraunia californica",156472,"Pseudobraunia californica",0,"accepted","California Pseudobraunia Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hedwigiales","","","","Hedwigiaceae","","","Pseudobraunia","californica","iNat:114122170",48.868472,-123.377932,"2022-04-30T12:57:00-07:00",,"Andrew Simon","false","needs_id",25,2022-04-30 19:57:00
"Homalothecium aureum",451921,"Homalothecium aureum",0,"accepted","pinnatifid homalothecium moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Homalothecium","aureum","iNat:114122171",48.868467,-123.377933,"2022-04-30T12:58:00-07:00",,"Andrew Simon","false","needs_id",25,2022-04-30 19:58:00
