"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Poa secunda",57198,"Poa secunda",0,"accepted","Pine bluegrass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Poa","secunda","iNat:116636151",48.868362,-123.377748,"2022-05-11T09:25:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-11 16:25:00
"Trifolium microdon",57079,"Trifolium microdon",0,"accepted","thimble clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","microdon","iNat:116636152",48.868337,-123.37763,"2022-05-11T09:31:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:31:00
"Simiolus",982854,"Simiolus",0,"accepted","seep monkeyflowers",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Phrymaceae","","","Erythranthe","","iNat:116636153",48.868337,-123.37763,"2022-05-11T09:32:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-11 16:32:00
"Riccia sorocarpa",56420,"Riccia sorocarpa",0,"accepted","Common Crystalwort",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Marchantiales","","","","Ricciaceae","","","Riccia","sorocarpa","iNat:116636157",48.868352,-123.377615,"2022-05-11T09:38:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:38:00
"Targionia hypophylla",56289,"Targionia hypophylla",0,"accepted","Orobus-seed Liverwort",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Marchantiales","","","","Targioniaceae","","","Targionia","hypophylla","iNat:116636159",48.868323,-123.377642,"2022-05-11T09:38:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:38:00
"Riccia",53014,"Riccia",0,"accepted","Crystalworts",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Marchantiales","","","","Ricciaceae","","","Riccia","","iNat:116636158",48.868313,-123.377657,"2022-05-11T09:39:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-11 16:39:00
"Riccia sorocarpa",56420,"Riccia sorocarpa",0,"accepted","Common Crystalwort",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Marchantiales","","","","Ricciaceae","","","Riccia","sorocarpa","iNat:116636164",48.868314,-123.377686,"2022-05-11T09:39:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-11 16:39:00
"Sphaerocarpos texanus",56436,"Sphaerocarpos texanus",0,"accepted","Texas Balloonwort",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Sphaerocarpales","","","","Sphaerocarpaceae","","","Sphaerocarpos","texanus","iNat:116636172",48.868336,-123.377881,"2022-05-11T09:41:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:41:00
"Anacolia menziesii",128572,"Anacolia menziesii",0,"accepted","Menzies' anacolia moss",,"Plantae","Bryophyta","","","Bryopsida","","","Bartramiales","","","","Bartramiaceae","","","Anacolia","menziesii","iNat:116636168",48.868267,-123.377658,"2022-05-11T09:44:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:44:00
"Luzula macrantha",890625,"Luzula macrantha",0,"accepted","Prairie Woodrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Luzula","macrantha","iNat:116636173",48.868667,-123.37789,"2022-05-11T09:53:00-07:00",,"Andrew Simon","false","needs_id",27,2022-05-11 16:53:00
"Noctua pronuba",81687,"Noctua pronuba",0,"accepted","Large Yellow Underwing",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Noctuinae","Noctuini","Noctua","pronuba","iNat:116636176",48.868767,-123.377888,"2022-05-11T09:56:00-07:00",,"Andrew Simon","false","research",25,2022-05-11 16:56:00
