"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Rubus ursinus",53445,"Rubus ursinus",0,"accepted","trailing blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","ursinus","iNat:53020591",48.884427,-123.371256,"2020-07-12T13:19:00-07:00",,"Andrew Simon","false","research",54,2020-07-12 20:19:00
"Thuja plicata",48252,"Thuja plicata",0,"accepted","western redcedar",,"Plantae","Tracheophyta","","","Pinopsida","","","Pinales","","","","Cupressaceae","Cupressoideae","","Thuja","plicata","iNat:53020592",48.884427,-123.371256,"2020-07-12T13:19:00-07:00",,"Andrew Simon","false","research",54,2020-07-12 20:19:00
"Rubus spectabilis",47543,"Rubus spectabilis",0,"accepted","Salmonberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","spectabilis","iNat:53020593",48.884427,-123.371256,"2020-07-12T13:19:00-07:00",,"Andrew Simon","false","research",54,2020-07-12 20:19:00
"Oenanthe sarmentosa",60127,"Oenanthe sarmentosa",0,"accepted","water parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Oenantheae","Oenanthe","sarmentosa","iNat:53020589",48.884427,-123.371256,"2020-07-12T13:21:00-07:00",,"Andrew Simon","false","research",54,2020-07-12 20:21:00
"Salix lasiandra lasiandra",81358,"Salix lasiandra lasiandra",0,"accepted","Pacific Willow",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Malpighiales","","","","Salicaceae","","","Salix","lasiandra","iNat:53020595",48.884452,-123.370966,"2020-07-12T13:24:00-07:00",,"Andrew Simon","false","needs_id",26,2020-07-12 20:24:00
"Rubus laciniatus",78891,"Rubus laciniatus",0,"accepted","Cutleaf Blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","laciniatus","iNat:53020588",48.883929,-123.368888,"2020-07-12T13:28:00-07:00",,"Andrew Simon","false","research",14,2020-07-12 20:28:00
"Crepis capillaris",54050,"Crepis capillaris",0,"accepted","Smooth hawksbeard",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Crepis","capillaris","iNat:53020587",48.884099,-123.370022,"2020-07-12T13:29:00-07:00",,"Andrew Simon","false","research",28,2020-07-12 20:29:00
"Alnus rubra",56034,"Alnus rubra",0,"accepted","Red Alder",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fagales","","","","Betulaceae","","","Alnus","rubra","iNat:53020586",48.884037,-123.36947,"2020-07-12T13:31:00-07:00",,"Andrew Simon","false","research",,2020-07-12 20:31:00
"Buteo jamaicensis",5212,"Buteo jamaicensis",0,"accepted","Red-tailed Hawk",,"Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","","Accipitridae","Buteoninae","","Buteo","jamaicensis","iNat:53020598",48.884103,-123.370306,"2020-07-12T13:34:00-07:00",,"Andrew Simon","false","research",58,2020-07-12 20:34:00
"Phalaris arundinacea",63337,"Phalaris arundinacea",0,"accepted","reed canary grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Phalaris","arundinacea","iNat:53020583",48.883938,-123.368615,"2020-07-12T13:35:00-07:00",,"Andrew Simon","false","research",,2020-07-12 20:35:00
"Holodiscus discolor",53414,"Holodiscus discolor",0,"accepted","Ocean spray",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Amygdaloideae","Spiraeeae","Holodiscus","discolor","iNat:53020599",48.883719,-123.368885,"2020-07-12T13:37:00-07:00",,"Andrew Simon","false","research",26,2020-07-12 20:37:00
"Gaultheria shallon",48441,"Gaultheria shallon",0,"accepted","salal",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Vaccinioideae","Gaultherieae","Gaultheria","shallon","iNat:53020581",48.884237,-123.370893,"2020-07-12T13:45:00-07:00",,"Andrew Simon","false","research",,2020-07-12 20:45:00
"Salix scouleriana",71076,"Salix scouleriana",0,"accepted","Scouler's willow",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Malpighiales","","","","Salicaceae","","","Salix","scouleriana","iNat:53020582",48.884358,-123.37076,"2020-07-12T13:45:00-07:00",,"Andrew Simon","false","needs_id",,2020-07-12 20:45:00
"Spiraea douglasii",62493,"Spiraea douglasii",0,"accepted","Rose Spirea",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Amygdaloideae","Spiraeeae","Spiraea","douglasii","iNat:53020596",48.884399,-123.370634,"2020-07-12T13:45:00-07:00",,"Andrew Simon","false","research",27,2020-07-12 20:45:00
