"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Diploschistes scruposus",117945,"Diploschistes scruposus",0,"accepted","Crater Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Ostropomycetidae","","Ostropales","","","","Graphidaceae","","","Diploschistes","scruposus","iNat:203812474",48.870778,-123.381086,"2023-05-31T11:05:15-07:00",,"heather-magpie","false","needs_id",,2023-05-31 18:05:15
"Protoparmeliopsis muralis",632126,"Protoparmeliopsis muralis",0,"accepted","Stonewall Rim Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Lecanoraceae","","","Protoparmeliopsis","muralis","iNat:203812656",48.870778,-123.381086,"2023-05-31T11:06:26-07:00",,"heather-magpie","false","needs_id",,2023-05-31 18:06:26
"Madia",53136,"Madia",0,"accepted","tarweeds",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Madieae","Madia","","iNat:167903004",48.870706,-123.381203,"2023-05-31T11:07:17-07:00",,"heather-magpie","false","needs_id",,2023-05-31 18:07:17
"Luzula macrantha",890625,"Luzula macrantha",0,"accepted","Prairie Woodrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Luzula","macrantha","iNat:164915653",48.870819,-123.381103,"2023-05-31T11:41:20-07:00",,"Myung Jin (John) Kang","false","needs_id",,2023-05-31 18:41:20
"Madia",53136,"Madia",0,"accepted","tarweeds",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Madieae","Madia","","iNat:164908244",48.871918,-123.381746,"2023-05-31T12:05:15-07:00",,"Myung Jin (John) Kang","false","needs_id",,2023-05-31 19:05:15
"Coleoptera",47208,"Coleoptera",0,"accepted","Beetles",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","","","","","","","","","iNat:164907849",48.872973,-123.383497,"2023-05-31T14:00:20-07:00",,"Myung Jin (John) Kang","false","needs_id",,2023-05-31 21:00:20
"Melica harfordii",77983,"Melica harfordii",0,"accepted","Harford's oniongrass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Meliceae","Melica","harfordii","iNat:164872778",48.873001,-123.383448,"2023-05-31T14:04:09-07:00",,"Myung Jin (John) Kang","false","needs_id",,2023-05-31 21:04:09
