"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Claytonia perfoliata",52994,"Claytonia perfoliata",0,"accepted","miner's lettuce",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Claytonia","perfoliata","iNat:164495769",48.949742,-123.51278,"2023-05-26T17:41:34-07:00",,"Joan Septembre","false","research",31,2023-05-27 00:41:34
"Cirsium brevistylum",52993,"Cirsium brevistylum",0,"accepted","Short-styled Thistle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Carduoideae","Cardueae","Cirsium","brevistylum","iNat:164495523",48.95017,-123.514947,"2023-05-26T17:44:32-07:00",,"Joan Septembre","false","research",20,2023-05-27 00:44:32
"Achlys triphylla",75263,"Achlys triphylla",0,"accepted","vanilla leaf",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Achlys","triphylla","iNat:164495647",48.950225,-123.514947,"2023-05-26T17:44:46-07:00",,"Joan Septembre","false","research",11,2023-05-27 00:44:46
"Pteridium aquilinum",52681,"Pteridium aquilinum",0,"accepted","common bracken",,"Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","Dennstaedtiineae","","","Dennstaedtiaceae","","","Pteridium","aquilinum","iNat:164495360",48.951738,-123.516778,"2023-05-26T17:47:20-07:00",,"Joan Septembre","false","research",29,2023-05-27 00:47:20
"Lysimachia latifolia",496537,"Lysimachia latifolia",0,"accepted","Western Starflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Primulaceae","Myrsinoideae","","Lysimachia","latifolia","iNat:164495048",48.95157,-123.516687,"2023-05-26T17:47:41-07:00",,"Joan Septembre","false","research",13,2023-05-27 00:47:41
"Cytisus scoparius",48538,"Cytisus scoparius",0,"accepted","Scotch Broom",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Cytisus","scoparius","iNat:164494873",48.952347,-123.518945,"2023-05-26T17:51:31-07:00",,"Joan Septembre","false","research",22,2023-05-27 00:51:31
"Cerastium arvense",50851,"Cerastium arvense",0,"accepted","field chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:164494677",48.952438,-123.519163,"2023-05-26T17:52:46-07:00",,"Joan Septembre","false","research",4,2023-05-27 00:52:46
"Vicia sativa",53324,"Vicia sativa",0,"accepted","Common Vetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Vicia","sativa","iNat:164495882",48.952597,-123.519945,"2023-05-26T17:54:20-07:00",,"Joan Septembre","false","research",31,2023-05-27 00:54:20
"Pseudotsuga menziesii",48256,"Pseudotsuga menziesii",0,"accepted","common Douglas-fir",,"Plantae","Tracheophyta","","","Pinopsida","","","Pinales","","","","Pinaceae","Pinoideae","","Pseudotsuga","menziesii","iNat:164494320",48.952625,-123.520012,"2023-05-26T17:54:54-07:00",,"Joan Septembre","false","research",29,2023-05-27 00:54:54
"Collinsia grandiflora",76409,"Collinsia grandiflora",0,"accepted","Giant Blue-eyed Mary",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Cheloneae","Collinsia","grandiflora","iNat:164494814",48.952872,-123.52085,"2023-05-26T17:56:05-07:00",,"Joan Septembre","false","needs_id",29,2023-05-27 00:56:05
