"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Camassia leichtlinii",62218,"Camassia leichtlinii",0,"accepted","great camas",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Asparagaceae","Agavoideae","","Camassia","leichtlinii","iNat:119369493",48.910043,-123.3747,"2022-05-29T17:18:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:18:00
"Bombus sitkensis",142269,"Bombus sitkensis",0,"accepted","Sitka Bumble Bee",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","sitkensis","iNat:119369497",48.910105,-123.374662,"2022-05-29T17:20:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:20:00
"Erythranthe guttata",470643,"Erythranthe guttata",0,"accepted","seep monkeyflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Phrymaceae","","","Erythranthe","guttata","iNat:119369496",48.910015,-123.374097,"2022-05-29T17:22:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:22:00
"Montia parvifolia",78123,"Montia parvifolia",0,"accepted","Small-leaved Blinks",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Montia","parvifolia","iNat:119369498",48.90999,-123.373675,"2022-05-29T17:23:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-30 00:23:00
"Vicia sativa",53324,"Vicia sativa",0,"accepted","Common Vetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Vicia","sativa","iNat:119369499",48.909857,-123.373267,"2022-05-29T17:25:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:25:00
"Plectritis congesta",57786,"Plectritis congesta",0,"accepted","shortspur seablush",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Dipsacales","","","","Caprifoliaceae","Valerianoideae","","Plectritis","congesta","iNat:119369500",48.909842,-123.373208,"2022-05-29T17:26:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:26:00
"Allium amplectens",60267,"Allium amplectens",0,"accepted","narrowleaf onion",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Amaryllidaceae","Allioideae","Allieae","Allium","amplectens","iNat:119369501",48.909627,-123.371953,"2022-05-29T17:29:00-07:00",,"Andrew Simon","false","needs_id",25,2022-05-30 00:29:00
"Triteleia hyacinthina",57132,"Triteleia hyacinthina",0,"accepted","white brodiaea",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Asparagaceae","Brodiaeoideae","","Triteleia","hyacinthina","iNat:119369503",48.909672,-123.372228,"2022-05-29T17:30:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:30:00
"Allium cernuum",116364,"Allium cernuum",0,"accepted","nodding onion",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Amaryllidaceae","Allioideae","Allieae","Allium","cernuum","iNat:119369504",48.90969,-123.372228,"2022-05-29T17:30:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:30:00
"Zonotrichia leucophrys",9176,"Zonotrichia leucophrys",0,"accepted","White-crowned Sparrow",,"Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","","Passerellidae","","","Zonotrichia","leucophrys","iNat:119369505",48.909676,-123.372685,"2022-05-29T17:34:00-07:00",,"Andrew Simon","false","research",25,2022-05-30 00:34:00
