"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Philonotis fontana",133809,"Philonotis fontana",0,"accepted","Fountain Apple-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Bartramiales","","","","Bartramiaceae","","","Philonotis","fontana","iNat:81146970",48.86838,-123.377811,"2021-05-03T09:51:00-07:00",,"Andrew Simon","false","needs_id",7,2021-05-03 16:51:00
"Scytinium plicatile",532311,"Scytinium plicatile",0,"accepted","Starfish Jellyskin Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","plicatile","iNat:81146971",48.868362,-123.377795,"2021-05-03T09:54:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 16:54:00
"Montanelia panniformis",463542,"Montanelia panniformis",0,"accepted","Shingled Camouflage Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Montanelia","panniformis","iNat:81146972",48.868572,-123.378107,"2021-05-03T10:05:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:05:00
"Scytinium plicatile",532311,"Scytinium plicatile",0,"accepted","Starfish Jellyskin Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","plicatile","iNat:81146973",48.868432,-123.378028,"2021-05-03T10:17:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:17:00
"Enchylium tenax",462865,"Enchylium tenax",0,"accepted","Jelly Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Enchylium","tenax","iNat:83031003",48.868592,-123.378207,"2021-05-03T10:24:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:24:00
"Lathagrium fuscovirens",463179,"Lathagrium fuscovirens",0,"accepted","Crumpled Rock Tarpaper Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Lathagrium","fuscovirens","iNat:83031004",48.868463,-123.378412,"2021-05-03T10:27:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:27:00
"Lepraria subalbicans",463357,"Lepraria subalbicans",0,"accepted","Lesser Cottonthread Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Stereocaulaceae","","","Lepraria","subalbicans","iNat:80798808",48.868528,-123.37835,"2021-05-03T10:29:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:29:00
"Cephaloziella divaricata",56495,"Cephaloziella divaricata",0,"accepted","Spreading Threadwort",,"Plantae","Marchantiophyta","","","Jungermanniopsida","Jungermanniidae","","Jungermanniales","Cephaloziineae","","","Cephaloziellaceae","","","Cephaloziella","divaricata","iNat:83031006",48.868553,-123.378138,"2021-05-03T10:31:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:31:00
"Riccia beyrichiana",56409,"Riccia beyrichiana",0,"accepted","Purple Crystalwort",,"Plantae","Marchantiophyta","","","Marchantiopsida","Marchantiidae","","Marchantiales","","","","Ricciaceae","","","Riccia","beyrichiana","iNat:79240744",48.868539,-123.378133,"2021-05-03T10:33:00-07:00",,"Andrew Simon","false","research",,2021-05-03 17:33:00
"Scytinium gelatinosum",526716,"Scytinium gelatinosum",0,"accepted","Rose-petalled Jellyskin Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","gelatinosum","iNat:83031010",48.868427,-123.378083,"2021-05-03T10:44:00-07:00",,"Andrew Simon","false","research",,2021-05-03 17:44:00
"Lepidium virginicum menziesii",79971,"Lepidium virginicum menziesii",0,"accepted","Menzies' pepperweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Lepidieae","Lepidium","virginicum","iNat:81146976",48.868427,-123.378083,"2021-05-03T10:45:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:45:00
"Bryum argenteum",123390,"Bryum argenteum",0,"accepted","Silvery Bryum",,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Bryum","argenteum","iNat:81146977",48.868392,-123.378152,"2021-05-03T10:47:00-07:00",,"Andrew Simon","false","research",,2021-05-03 17:47:00
"Weissia controversa",170306,"Weissia controversa",0,"accepted","Green-tufted Stubble Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Pottiales","","","","Pottiaceae","","","Weissia","controversa","iNat:79235128",48.86836,-123.378015,"2021-05-03T10:51:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:51:00
"Hypochaeris radicata",53104,"Hypochaeris radicata",0,"accepted","Common Cat's-ear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Hypochaeris","radicata","iNat:81146978",48.868348,-123.378037,"2021-05-03T10:54:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 17:54:00
"Entosthodon muhlenbergii",917753,"Entosthodon muhlenbergii",0,"accepted","Muhlenberg's Cord-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Funariales","","","","Funariaceae","","","Entosthodon","muhlenbergii","iNat:81146979",48.868023,-123.377468,"2021-05-03T11:00:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:00:00
"Scytinium platynum",532310,"Scytinium platynum",0,"accepted","Batwing Vinyl Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","platynum","iNat:81146984",48.8682,-123.377668,"2021-05-03T11:08:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:08:00
"Entosthodon muhlenbergii",917753,"Entosthodon muhlenbergii",0,"accepted","Muhlenberg's Cord-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Funariales","","","","Funariaceae","","","Entosthodon","muhlenbergii","iNat:81146983",48.86817,-123.377622,"2021-05-03T11:13:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:13:00
"Scytinium platynum",532310,"Scytinium platynum",0,"accepted","Batwing Vinyl Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","platynum","iNat:81146986",48.868143,-123.377613,"2021-05-03T11:17:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:17:00
"Placynthiella oligotropha",228244,"Placynthiella oligotropha",0,"accepted","",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Ostropomycetidae","","Trapeliales","","","","Trapeliaceae","","","Placynthiella","oligotropha","iNat:83031013",48.868105,-123.377557,"2021-05-03T11:24:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:24:00
"Scytinium plicatile",532311,"Scytinium plicatile",0,"accepted","Starfish Jellyskin Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Scytinium","plicatile","iNat:83031011",48.868123,-123.377702,"2021-05-03T11:37:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:37:00
"Peltigera collina",194736,"Peltigera collina",0,"accepted","tree pelt lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Peltigeraceae","","","Peltigera","collina","iNat:81146987",48.86807,-123.3777,"2021-05-03T11:42:00-07:00",,"Andrew Simon","false","research",,2021-05-03 18:42:00
"Dendroalsia abietina",55340,"Dendroalsia abietina",0,"accepted","dendroalsia moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Leucodontaceae","","","Dendroalsia","abietina","iNat:81146988",48.86807,-123.3777,"2021-05-03T11:43:00-07:00",,"Andrew Simon","false","research",,2021-05-03 18:43:00
"Entosthodon muhlenbergii",917753,"Entosthodon muhlenbergii",0,"accepted","Muhlenberg's Cord-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Funariales","","","","Funariaceae","","","Entosthodon","muhlenbergii","iNat:81146989",48.868197,-123.377832,"2021-05-03T11:47:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-03 18:47:00
"Epilobium minutum",57150,"Epilobium minutum",0,"accepted","little willowherb",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Myrtales","","","","Onagraceae","","","Epilobium","minutum","iNat:81146990",48.868222,-123.377803,"2021-05-03T11:53:00-07:00",,"Andrew Simon","false","research",,2021-05-03 18:53:00
