"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Osmorhiza berteroi",53166,"Osmorhiza berteroi",0,"accepted","mountain sweet cicely",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Osmorhiza","berteroi","iNat:121538467",48.86885,-123.31188,"2022-06-12T14:17:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 21:17:00
"Nemophila parviflora",57353,"Nemophila parviflora",0,"accepted","small-flowered nemophila",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Boraginales","","","","Boraginaceae","Hydrophylloideae","","Nemophila","parviflora","iNat:121538468",48.868812,-123.312087,"2022-06-12T14:17:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 21:17:00
"Sedum album",79025,"Sedum album",0,"accepted","white stonecrop",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Crassulaceae","Sempervivoideae","Sedeae","Sedum","album","iNat:121538469",48.868853,-123.312185,"2022-06-12T14:21:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 21:21:00
"Iris × hybrida",857006,"Iris × hybrida",0,"accepted","",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Iridaceae","Iridoideae","Irideae","Iris","","iNat:121538470",48.86883,-123.312175,"2022-06-12T14:21:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 21:21:00
"Torilis",53305,"Torilis",0,"accepted","hedge parslies",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Torilis","","iNat:121538471",48.868643,-123.311695,"2022-06-12T14:25:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 21:25:00
"Molothrus ater",10373,"Molothrus ater",0,"accepted","Brown-headed Cowbird",,"Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","","Icteridae","","","Molothrus","ater","iNat:121538473",48.868689,-123.313086,"2022-06-12T14:29:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 21:29:00
