"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Torilis arvensis",56846,"Torilis arvensis",0,"accepted","common hedge parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Torilis","arvensis","iNat:85291214",48.865905,-123.368045,"2021-07-01T15:57:00-07:00",,"Andrew Simon","false","needs_id",,2021-07-01 22:57:00
"Lobaria anomala",463448,"Lobaria anomala",0,"accepted","Netted Specklebelly",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Lobariaceae","","","Lobaria","anomala","iNat:85291215",48.865371,-123.367356,"2021-07-01T16:02:00-07:00",,"Andrew Simon","false","research",30,2021-07-01 23:02:00
"Lepidium virginicum menziesii",79971,"Lepidium virginicum menziesii",0,"accepted","Menzies' pepperweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","","Brassicaceae","Brassicoideae","Lepidieae","Lepidium","virginicum","iNat:85291218",48.866025,-123.368307,"2021-07-01T16:07:00-07:00",,"Andrew Simon","false","research",,2021-07-01 23:07:00
"Cricetidae",55986,"Cricetidae",0,"accepted","Hamsters, Voles, Lemmings, and Allies",,"Animalia","Chordata","Vertebrata","","Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","","Muroidea","Cricetidae","","","","","iNat:85546134",48.865905,-123.368045,"2021-07-01T16:09:00-07:00",,"Andrew Simon","false","needs_id",,2021-07-01 23:09:00
"Neckera menziesii",1149640,"Neckera menziesii",0,"accepted","Menzies' metaneckera moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Neckeraceae","","","Neckera","menziesii","iNat:85291213",48.864992,-123.367002,"2021-07-01T16:17:00-07:00",,"Andrew Simon","false","needs_id",,2021-07-01 23:17:00
"Allium acuminatum",59782,"Allium acuminatum",0,"accepted","Hooker's onion",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Amaryllidaceae","Allioideae","Allieae","Allium","acuminatum","iNat:85291219",48.864912,-123.366805,"2021-07-01T16:21:00-07:00",,"Andrew Simon","false","research",,2021-07-01 23:21:00
"Torilis arvensis",56846,"Torilis arvensis",0,"accepted","common hedge parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Torilis","arvensis","iNat:85291220",48.864928,-123.36677,"2021-07-01T16:22:00-07:00",,"Andrew Simon","false","needs_id",,2021-07-01 23:22:00
"Elymus glaucus glaucus",57171,"Elymus glaucus glaucus",0,"accepted","Blue Wild Rye",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Triticeae","Elymus","glaucus","iNat:85291223",48.863827,-123.362285,"2021-07-01T16:34:00-07:00",,"Andrew Simon","false","research",,2021-07-01 23:34:00
