"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Oenanthe pimpinelloides",85063,"Oenanthe pimpinelloides",0,"accepted","Corky-fruited Water-dropwort",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Oenantheae","Oenanthe","pimpinelloides","iNat:121538405",48.870198,-123.318757,"2022-06-12T11:55:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 18:55:00
"Juncus",1437020,"Juncus",0,"accepted","",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","","iNat:121538406",48.870283,-123.319008,"2022-06-12T11:57:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 18:57:00
"Agrostis gigantea",75314,"Agrostis gigantea",0,"accepted","redtop",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Agrostis","gigantea","iNat:121538407",48.8703,-123.318982,"2022-06-12T11:57:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 18:57:00
"Poa palustris",78650,"Poa palustris",0,"accepted","Swamp Meadow-grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Poa","palustris","iNat:121538409",48.870314,-123.319,"2022-06-12T12:00:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:00:00
"Juncus bufonius",57107,"Juncus bufonius",0,"accepted","Toad rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","bufonius","iNat:121538410",48.870308,-123.31893,"2022-06-12T12:03:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:03:00
"Alopecurus geniculatus",71140,"Alopecurus geniculatus",0,"accepted","Marsh foxtail",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Alopecurus","geniculatus","iNat:121538413",48.870343,-123.318973,"2022-06-12T12:05:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:05:00
"Lolium arundinaceum",164708,"Lolium arundinaceum",0,"accepted","tall fescue",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Lolium","arundinaceum","iNat:121538415",48.870323,-123.31896,"2022-06-12T12:07:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:07:00
"Juncus bufonius",57107,"Juncus bufonius",0,"accepted","Toad rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","bufonius","iNat:121538416",48.870328,-123.318928,"2022-06-12T12:07:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:07:00
"Lysimachia minima",204353,"Lysimachia minima",0,"accepted","Chaffweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Primulaceae","Myrsinoideae","","Lysimachia","minima","iNat:121538417",48.870343,-123.318907,"2022-06-12T12:09:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:09:00
"Erigoninae",495875,"Erigoninae",0,"accepted","Dwarf Spiders",,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Araneoidea","Linyphiidae","Erigoninae","","","","iNat:121538419",48.870472,-123.318781,"2022-06-12T12:16:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:16:00
"Saldula",135296,"Saldula",0,"accepted","",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Leptopodomorpha","Saldoidea","Saldidae","Saldinae","Saldoidini","Saldula","","iNat:121538421",48.870472,-123.318786,"2022-06-12T12:17:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:17:00
"Harpalinae",202104,"Harpalinae",0,"accepted","",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Adephaga","","Caraboidea","Carabidae","Harpalinae","","","","iNat:121538422",48.870472,-123.318789,"2022-06-12T12:18:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:18:00
"Veronica peregrina peregrina",60318,"Veronica peregrina peregrina",0,"accepted","common purslane speedwell",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Veroniceae","Veronica","peregrina","iNat:121538423",48.870482,-123.318833,"2022-06-12T12:20:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:20:00
"Elaphrus",88115,"Elaphrus",0,"accepted","Marsh Ground Beetles",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Adephaga","","Caraboidea","Carabidae","Elaphrinae","Elaphrini","Elaphrus","","iNat:121538424",48.870536,-123.318906,"2022-06-12T12:22:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:22:00
"Gnaphalium palustre",57980,"Gnaphalium palustre",0,"accepted","western marsh cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Gnaphalium","palustre","iNat:121538426",48.870538,-123.318907,"2022-06-12T12:25:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:25:00
"Gnaphalium uliginosum",136366,"Gnaphalium uliginosum",0,"accepted","marsh cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Gnaphalium","uliginosum","iNat:121538427",48.870538,-123.318908,"2022-06-12T12:26:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:26:00
"Gnaphalium palustre",57980,"Gnaphalium palustre",0,"accepted","western marsh cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Gnaphalium","palustre","iNat:121538428",48.870538,-123.318908,"2022-06-12T12:26:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:26:00
"Navarretia squarrosa",53157,"Navarretia squarrosa",0,"accepted","Skunkweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Polemoniaceae","","","Navarretia","squarrosa","iNat:121538429",48.870537,-123.3189,"2022-06-12T12:26:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:26:00
"Bellardia viscosa",537967,"Bellardia viscosa",0,"accepted","Yellow Glandweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Orobanchaceae","","Rhinantheae","Bellardia","viscosa","iNat:121538430",48.870573,-123.31905,"2022-06-12T12:28:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:28:00
"Gnaphalium uliginosum",136366,"Gnaphalium uliginosum",0,"accepted","marsh cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Gnaphalium","uliginosum","iNat:121538431",48.870573,-123.319052,"2022-06-12T12:28:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:28:00
"Juncus tenuis",69930,"Juncus tenuis",0,"accepted","Slender Path Rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","tenuis","iNat:121538433",48.870592,-123.319062,"2022-06-12T12:30:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:30:00
"Gnaphalium uliginosum",136366,"Gnaphalium uliginosum",0,"accepted","marsh cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Gnaphalium","uliginosum","iNat:121538434",48.870592,-123.319063,"2022-06-12T12:31:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:31:00
"Juncus articulatus",77552,"Juncus articulatus",0,"accepted","Jointed rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","articulatus","iNat:121538435",48.870577,-123.319103,"2022-06-12T12:32:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:32:00
"Danthonia decumbens",76603,"Danthonia decumbens",0,"accepted","mountain heath grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Danthonioideae","Danthonieae","Danthonia","decumbens","iNat:121538436",48.870558,-123.319087,"2022-06-12T12:33:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:33:00
"Danthonia californica",57165,"Danthonia californica",0,"accepted","California oatgrass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Danthonioideae","Danthonieae","Danthonia","californica","iNat:121538438",48.870528,-123.319213,"2022-06-12T12:35:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:35:00
"Prunella vulgaris",52764,"Prunella vulgaris",0,"accepted","common selfheal",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Lamiaceae","Nepetoideae","Mentheae","Prunella","vulgaris","iNat:121538439",48.870512,-123.319173,"2022-06-12T12:36:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:36:00
"Dialictus",126545,"Dialictus",0,"accepted","Metallic Sweat Bees",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Halictidae","Halictinae","Halictini","Lasioglossum","","iNat:121538441",48.870697,-123.320602,"2022-06-12T12:41:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:41:00
"Veronica americana",57277,"Veronica americana",0,"accepted","American brooklime",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Veroniceae","Veronica","americana","iNat:121538440",48.870688,-123.321118,"2022-06-12T12:46:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:46:00
"Carex pallescens",160055,"Carex pallescens",0,"accepted","pale sedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","pallescens","iNat:121538443",48.870418,-123.321228,"2022-06-12T12:47:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:47:00
"Rubus laciniatus",78891,"Rubus laciniatus",0,"accepted","Cutleaf Blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","laciniatus","iNat:121538446",48.870435,-123.321378,"2022-06-12T12:49:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:49:00
"Rubus bifrons",168025,"Rubus bifrons",0,"accepted","Himalayan Blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","bifrons","iNat:121538447",48.870683,-123.32098,"2022-06-12T12:50:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:50:00
"Cytisus scoparius",48538,"Cytisus scoparius",0,"accepted","Scotch Broom",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Cytisus","scoparius","iNat:121538449",48.870655,-123.320973,"2022-06-12T12:50:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:50:00
"Sisyrinchium idahoense",79129,"Sisyrinchium idahoense",0,"accepted","Idaho Blue-eyed Grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Iridaceae","Iridoideae","Sisyrinchieae","Sisyrinchium","idahoense","iNat:121538450",48.870672,-123.320972,"2022-06-12T12:51:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:51:00
"Pteridium aquilinum",52681,"Pteridium aquilinum",0,"accepted","common bracken",,"Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","Dennstaedtiineae","","","Dennstaedtiaceae","","","Pteridium","aquilinum","iNat:121538451",48.87068,-123.32098,"2022-06-12T12:52:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 19:52:00
"Carex aurea",76017,"Carex aurea",0,"accepted","golden sedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","aurea","iNat:121538452",48.870773,-123.321103,"2022-06-12T12:55:00-07:00",,"Andrew Simon","false","research",3,2022-06-12 19:55:00
"Dichodontium pellucidum",161820,"Dichodontium pellucidum",0,"accepted","transparent fork-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Aongstroemiaceae","","","Dichodontium","pellucidum","iNat:121538453",48.870845,-123.321147,"2022-06-12T12:57:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:57:00
"Calliergonella cuspidata",159669,"Calliergonella cuspidata",0,"accepted","Pointed Spear-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Pylaisiaceae","","","Calliergonella","cuspidata","iNat:121538455",48.870845,-123.321147,"2022-06-12T12:58:00-07:00",,"Andrew Simon","false","needs_id",10,2022-06-12 19:58:00
"Juncus pylaei",204194,"Juncus pylaei",0,"accepted","Pylaie's Soft Rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","pylaei","iNat:121538456",48.870857,-123.32116,"2022-06-12T13:00:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 20:00:00
"Juncus effusus pacificus",57108,"Juncus effusus pacificus",0,"accepted","pacific rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Juncus","effusus","iNat:121538458",48.87084,-123.32118,"2022-06-12T13:00:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 20:00:00
"Cynosurus cristatus",76581,"Cynosurus cristatus",0,"accepted","crested dogtail grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Cynosurus","cristatus","iNat:121538459",48.870997,-123.321197,"2022-06-12T13:04:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 20:04:00
"Lotus corniculatus",47435,"Lotus corniculatus",0,"accepted","bird's-foot trefoil",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Loteae","Lotus","corniculatus","iNat:121538460",48.871318,-123.320797,"2022-06-12T13:10:00-07:00",,"Andrew Simon","false","research",10,2022-06-12 20:10:00
