"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Veronica serpyllifolia",55749,"Veronica serpyllifolia",0,"accepted","thyme-leaved speedwell",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Veroniceae","Veronica","serpyllifolia","iNat:82513154",48.904918,-123.350092,"2021-05-05T19:03:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:03:00
"Pinus contorta",48934,"Pinus contorta",0,"accepted","lodgepole pine",,"Plantae","Tracheophyta","","","Pinopsida","","","Pinales","","","","Pinaceae","Pinoideae","","Pinus","contorta","iNat:82513153",48.905603,-123.350358,"2021-05-05T19:16:00-07:00",,"Andrew Simon","false","research",14,2021-05-06 02:16:00
"Plagiothecium undulatum",123586,"Plagiothecium undulatum",0,"accepted","Waved Silk-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Plagiotheciaceae","","","Plagiothecium","undulatum","iNat:82513150",48.905415,-123.35048,"2021-05-05T19:17:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:17:00
"Erythranthe microphylla",453717,"Erythranthe microphylla",0,"accepted","Small-leaf Monkeyflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Phrymaceae","","","Erythranthe","microphylla","iNat:82513151",48.905538,-123.350372,"2021-05-05T19:18:00-07:00",,"Andrew Simon","false","needs_id",,2021-05-06 02:18:00
"Montia fontana",58990,"Montia fontana",0,"accepted","blinks",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Montia","fontana","iNat:82513149",48.905562,-123.35036,"2021-05-05T19:19:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:19:00
"Myosotis discolor",70265,"Myosotis discolor",0,"accepted","Changing Forget-me-not",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Boraginales","","","","Boraginaceae","Cynoglossoideae","Myosotideae","Myosotis","discolor","iNat:82513145",48.905538,-123.350547,"2021-05-05T19:21:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:21:00
"Bombus vancouverensis vancouverensis",1020322,"Bombus vancouverensis vancouverensis",0,"accepted","Vancouver Island Bumble Bee",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","vancouverensis","iNat:82513143",48.905527,-123.350628,"2021-05-05T19:23:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:23:00
"Plectritis congesta",57786,"Plectritis congesta",0,"accepted","shortspur seablush",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Dipsacales","","","","Caprifoliaceae","Valerianoideae","","Plectritis","congesta","iNat:82513144",48.905538,-123.350508,"2021-05-05T19:23:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:23:00
"Plagiothecium undulatum",123586,"Plagiothecium undulatum",0,"accepted","Waved Silk-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Plagiotheciaceae","","","Plagiothecium","undulatum","iNat:82513142",48.905528,-123.350627,"2021-05-05T19:26:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:26:00
"Montia parvifolia",78123,"Montia parvifolia",0,"accepted","Small-leaved Blinks",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Montia","parvifolia","iNat:82513141",48.905612,-123.351,"2021-05-05T19:27:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:27:00
"Blennothallia fecunda",462484,"Blennothallia fecunda",0,"accepted","",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Collemataceae","","","Blennothallia","fecunda","iNat:82513140",48.905597,-123.350322,"2021-05-05T19:34:00-07:00",,"Andrew Simon","false","research",,2021-05-06 02:34:00
