"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Aira praecox",61058,"Aira praecox",0,"accepted","early hair grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Aira","praecox","iNat:53022038",48.887307,-123.374861,"2020-07-12T14:30:00-07:00",,"Andrew Simon","false","needs_id",44,2020-07-12 21:30:00
"Collomia heterophylla",52996,"Collomia heterophylla",0,"accepted","variableleaf collomia",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Polemoniaceae","","","Collomia","heterophylla","iNat:53022039",48.887472,-123.374992,"2020-07-12T14:32:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:32:00
"Monotropa uniflora",49477,"Monotropa uniflora",0,"accepted","Ghost Pipe",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Monotropoideae","","Monotropa","uniflora","iNat:53022040",48.88747,-123.375,"2020-07-12T14:32:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:32:00
"Platanthera transversa",355392,"Platanthera transversa",0,"accepted","Flat Spurred Piperia",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Orchidoideae","Orchideae","Platanthera","transversa","iNat:53022041",48.88737,-123.374947,"2020-07-12T14:33:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:33:00
"Daucus pusillus",56726,"Daucus pusillus",0,"accepted","American wild carrot",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Daucus","pusillus","iNat:53022042",48.887285,-123.374842,"2020-07-12T14:35:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:35:00
"Filago germanica",634625,"Filago germanica",0,"accepted","Common Cudweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Filago","germanica","iNat:53022044",48.887225,-123.374742,"2020-07-12T14:36:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:36:00
"Silene antirrhina",58780,"Silene antirrhina",0,"accepted","sleepy catchfly",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","Caryophylloideae","Sileneae","Silene","antirrhina","iNat:53022045",48.887102,-123.374743,"2020-07-12T14:38:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:38:00
"Festuca myuros",77140,"Festuca myuros",0,"accepted","rattail sixweeks grass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Festuca","myuros","iNat:53022046",48.88709,-123.374757,"2020-07-12T14:39:00-07:00",,"Andrew Simon","false","needs_id",,2020-07-12 21:39:00
"Lonicera hispidula",53416,"Lonicera hispidula",0,"accepted","Pink Honeysuckle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Dipsacales","","","","Caprifoliaceae","Caprifolioideae","","Lonicera","hispidula","iNat:53022047",48.88706,-123.374808,"2020-07-12T14:41:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:41:00
"Platanthera transversa",355392,"Platanthera transversa",0,"accepted","Flat Spurred Piperia",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Orchidoideae","Orchideae","Platanthera","transversa","iNat:53022051",48.887052,-123.373885,"2020-07-12T14:44:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:44:00
"Achillea millefolium",52821,"Achillea millefolium",0,"accepted","common yarrow",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Anthemideae","Achillea","millefolium","iNat:53022052",48.887042,-123.373888,"2020-07-12T14:47:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:47:00
"Acmispon parviflorus",57048,"Acmispon parviflorus",0,"accepted","Short-flower Deervetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Loteae","Acmispon","parviflorus","iNat:53022053",48.886768,-123.373285,"2020-07-12T14:47:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:47:00
"Triteleia hyacinthina",57132,"Triteleia hyacinthina",0,"accepted","white brodiaea",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Asparagaceae","Brodiaeoideae","","Triteleia","hyacinthina","iNat:53022057",48.88679,-123.373388,"2020-07-12T14:49:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:49:00
"Festuca microstachys pauciflora",1377236,"Festuca microstachys pauciflora",0,"accepted","Pacific Fescue",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Festuca","microstachys","iNat:53022058",48.88679,-123.37338,"2020-07-12T14:51:00-07:00",,"Andrew Simon","false","needs_id",,2020-07-12 21:51:00
"Senecio sylvaticus",53210,"Senecio sylvaticus",0,"accepted","Heath Groundsel",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Senecioneae","Senecio","sylvaticus","iNat:53022059",48.886778,-123.373372,"2020-07-12T14:52:00-07:00",,"Andrew Simon","false","needs_id",,2020-07-12 21:52:00
"Arctostaphylos columbiana",75505,"Arctostaphylos columbiana",0,"accepted","hairy manzanita",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Arbutoideae","","Arctostaphylos","columbiana","iNat:53022063",48.886618,-123.37277,"2020-07-12T14:58:00-07:00",,"Andrew Simon","false","research",,2020-07-12 21:58:00
